uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF
"0d7b59fc-a64f-418b-b13a-3d42c0d99bcd","WREF_012.basePlot.cfc","D16","WREF","WREF_012","distributed","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXosqMsMsRXZs=","A00000060532","9Q2HJihgWLXkj3CD16Qz2/TrmCmYB8mXVngXrDFZ1j37+V7wGe5L1w==","A00000106141","2019-07-15T20:10Z","2019-09-23",1,0.499,13.02,14.29,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"ca97d2b5-e2f9-42ee-8f8a-f76cbb3bb3e2","WREF_016.basePlot.cfc","D16","WREF","WREF_016","distributed","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdbof07gQkt0W40=","A00000106132","9Q2HJihgWLVoqw+4VopyFRhK+n9jwdboiyr8IPPdyKs=","A00000106124","2019-07-16T17:22Z","2019-09-23",1,0.476,13.02,11.10,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"b792ac52-eee7-4fc4-abdd-940c7100a41b","WREF_016.basePlot.cfc","D16","WREF","WREF_016","distributed","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VFTt5/11swDI=","A00000106148","9Q2HJihgWLWri5SGwBhyzwJh6tC8RM9VQyNXk+SnGPLU62Rbp1Itnw==","A00000106111","2019-07-16T17:45Z","2019-09-23",1,0.475,12.05,13.80,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"21f1a2d7-a775-42b7-8f36-80d20d658ad2","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZkix8WwKI32nrA=","A00000060546","9Q2HJihgWLVbcGqJFA9Ry0ENZVgOkZki8TupQQJ9c7RJ9kxs1b2g8w==","A00000106366","2019-07-16T17:59Z","2019-09-23",1,0.475,23.18,10.73,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"ee87b50b-8de3-4b87-b534-8aee97712434","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKsBpzlXkG0Cc=","A00000060548","9Q2HJihgWLWfapWu+P0gf9pD5JP2c/YKHAMDnRSrw24=","A00000106142","2019-07-16T20:12Z","2019-09-23",1,0.482,12.38,13.69,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"98cb70c4-f4e5-4500-831a-94c2e9f9d8e0","WREF_004.basePlot.cfc","D16","WREF","WREF_004","distributed","9Q2HJihgWLXulDXtPAQqU+spVA5oSIpplfz89UFtLO8=","A00000106149","9Q2HJihgWLXulDXtPAQqU+spVA5oSIppHxC7gbUxvUh/KbW+/cULmw==","A00000106081","2019-07-16T20:20Z","2019-09-23",1,0.485,12.94,13.04,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"439a966e-7f1d-4ba8-ad57-cb5e67a94850","WREF_019.basePlot.cfc","D16","WREF","WREF_019","distributed","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jij/xPYgL9hJ0Q=","A00000060550","9Q2HJihgWLVIJ+D+b/OvLzkLgQGx0jijPvivUzYL/lrOGyHBTUBzew==","A00000106120","2019-07-16T20:48Z","2019-09-23",1,0.465,14.39,15.39,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"a5272f0f-d33d-4b80-b6bd-1ae980a859b9","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5YkYqA6hTZWAvs=","A00000106133","9Q2HJihgWLUOdesmpw+IQI7ICVqEI5Ykulru3kcJLCE=","A00000106143","2019-07-16T22:23Z","2019-09-23",1,0.474,12.99,11.11,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"63ae2710-3f28-4a6c-acb1-a674dadc0235","WREF_015.basePlot.cfc","D16","WREF","WREF_015","distributed","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/t7+BQ0tbbhM=","A00000106150","9Q2HJihgWLUR5wb3Dgvw3w8k3vzW4MJ/dto1gCx2tB+dlLMo8xsMog==","A00000106128","2019-07-16T22:36Z","2019-09-23",1,0.477,12.31,13.73,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"00db8852-3d2b-4225-9d96-b0288587987a","WREF_011.basePlot.cfc","D16","WREF","WREF_011","distributed","9Q2HJihgWLWUa7EMozParjkvVSb4vTvD7gZJ/iZe/kY=","A00000106147","9Q2HJihgWLWUa7EMozParjkvVSb4vTvDaIUGvmWXodyOkLnsba/EFA==","A00000106083","2019-07-17T17:15Z","2019-09-23",1,0.496,13.12,12.37,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"910f1bc5-ad68-4c0f-b9ee-dbdf547c8920","WREF_009.basePlot.cfc","D16","WREF","WREF_009","distributed","9Q2HJihgWLU+zHhLO4n/buJ1tsziKC4gGlMiA6qzAJQ=","A00000060549","9Q2HJihgWLU+zHhLO4n/buJ1tsziKC4guPCXRRYZbAalSDMUmKQYPg==","A00000106098","2019-07-17T18:15Z","2019-09-23",1,0.495,5.22,10.80,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"11377b41-183e-4131-a515-bc3b2732ac91","WREF_009.basePlot.cfc","D16","WREF","WREF_009","distributed","9Q2HJihgWLVPUcPAGHYpnxq/dWbJNcijV8v6ujYy1Zw=","A00000060533","9Q2HJihgWLVPUcPAGHYpnxq/dWbJNcij+0tZBBwECwQ=","A00000106100","2019-07-17T18:20Z","2019-09-23",1,0.408,4.72,8.31,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"deccea07-adb5-47e1-8b54-63f1f7f38b4d","WREF_009.basePlot.cfc","D16","WREF","WREF_009","distributed","9Q2HJihgWLX7HI726ReC504kw53qQgxiKDUfAfE+Xuo=","A00000060534","9Q2HJihgWLX7HI726ReC504kw53qQgxiNynHArLtrGo=","A00000106109","2019-07-17T18:22Z","2019-09-23",1,0.482,5.75,9.60,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"0a997b79-0f5f-445b-99bf-e431305af7c6","WREF_009.basePlot.cfc","D16","WREF","WREF_009","distributed","9Q2HJihgWLW8O1cZfFFY1xiiRxZiYnXQUEdiYd1+5IU=","A00000106130","9Q2HJihgWLW8O1cZfFFY1xiiRxZiYnXQzvvYRjuMXaF7uJAdawv5yA==","A00000106119","2019-07-17T18:40Z","2019-09-23",1,0.468,13.27,15.04,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"3982ac0e-9e07-4f18-a20f-ebbef1e00b0b","WREF_013.basePlot.cfc","D16","WREF","WREF_013","distributed","9Q2HJihgWLUm8bZtPMej2ND1YW1ovrmJcW1NuDS7rDw=","A00000106131","9Q2HJihgWLUm8bZtPMej2ND1YW1ovrmJdvLaidDFQZadKU5z17+ZzQ==","A00000106121","2019-07-18T18:40Z","2019-09-23",1,0.497,10.64,13.09,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"3b84aef3-3cf7-40d7-9d5e-a0306eb3991f","WREF_013.basePlot.cfc","D16","WREF","WREF_013","distributed","9Q2HJihgWLV3tU3ISqaz1cXNwO/83f9VTKIncYg9PRk=","A00000106151","9Q2HJihgWLV3tU3ISqaz1cXNwO/83f9VWjRBAvile3M=","A00000106115","2019-07-18T18:59Z","2019-09-23",1,0.471,11.40,12.08,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"d5037e29-bd97-4b1c-a974-72f0eba5ab29","WREF_004.basePlot.cfc","D16","WREF","WREF_004","distributed","9Q2HJihgWLVDyhjFDcAbUZsHVivKkAqBvgOEgUIVp3o=","A00000106134","9Q2HJihgWLVDyhjFDcAbUZsHVivKkAqBGcaQ5Yocj5g=","A00000106090","2019-07-18T21:09Z","2019-09-23",1,0.486,16.20,11.68,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"d5b29559-7e69-466d-b429-7f394fd906d1","WREF_089.basePlot.cfc","D16","WREF","WREF_089","tower","9Q2HJihgWLXobC1LoSsBrp1Jk+O8mVEOF87uAq3J5tU=","A00000106135","9Q2HJihgWLXobC1LoSsBrp1Jk+O8mVEOKCMAm2+YFU0=","A00000106087","2019-07-22T23:06Z","2019-09-23",1,0.464,14.65,12.04,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"3ce9364e-4710-4bad-8f60-2a928322739a","WREF_086.basePlot.cfc","D16","WREF","WREF_086","tower","9Q2HJihgWLXZRLdnx3Vm5ejPcjMrHQOPpQt61ofC+hI=","A00000060531","9Q2HJihgWLXZRLdnx3Vm5ejPcjMrHQOPZEx4tnJkz8k=","A00000106091","2019-07-23T17:06Z","2019-09-23",1,0.470,16.27,12.96,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"8205f647-67f4-4167-b3b7-4dac15a552a8","WREF_077.basePlot.cfc","D16","WREF","WREF_077","tower","9Q2HJihgWLXCdqQchroUS9eZeE7aMisqfT9Sgmo420A=","A00000060544","9Q2HJihgWLXCdqQchroUS9eZeE7aMisqsB0f6k4TebI=","A00000106101","2019-07-23T19:29Z","2019-09-23",1,0.488,16.64,12.90,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
"9862fe5e-bfa0-4dd6-85ee-b652b9e4dc62","WREF_075.basePlot.cfc","D16","WREF","WREF_075","tower","9Q2HJihgWLUaLcTD0XpP7NKBEjhGT9YCcFtbPyGdse8=","A00000060527","9Q2HJihgWLUaLcTD0XpP7NKBEjhGT9YCjjBijMGzvuE0cefLGeK/Zw==","A00000106096","2019-07-24T16:24Z","2019-09-23",1,0.481,12.32,13.09,"OK","OK",,"A and L Great Lakes","SOP APF-10-024","5CCjZV/fgtQ=","6AyUQh3hBk8=",
